Ma_Don_Vi,Ten_Don_Vi,SBD,Mon_Thi,Diem_Viet,Diem_Nghe,Diem_Doc,Diem_Noi,Tong_Diem,Giai,Lop,Truong
06,Bắc Ninh,06.02.06,Vật lí,,,,,29.000,Nhì,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.02.07,Vật lí,,,,,25.000,Nhì,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.02.08,Vật lí,,,,,24.750,Nhì,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.02.09,Vật lí,,,,,20.500,Ba,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.02.10,Vật lí,,,,,35.750,Nhất,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.03.01,Hoá học,,,,,16.375,Ba,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.03.02,Hoá học,,,,,24.000,Nhì,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.03.03,Hoá học,,,,,19.250,Ba,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.03.04,Hoá học,,,,,33.125,Nhất,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.03.05,Hoá học,,,,,22.875,Nhì,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.03.06,Hoá học,,,,,17.875,Ba,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.03.07,Hoá học,,,,,23.375,Nhì,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.03.08,Hoá học,,,,,18.750,Ba,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.03.09,Hoá học,,,,,15.000,K.Khích,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.03.10,Hoá học,,,,,16.750,Ba,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.04.01,Sinh học,,,,,22.000,Ba,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.04.02,Sinh học,,,,,18.000,K.Khích,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.04.03,Sinh học,,,,,23.500,Nhì,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.04.04,Sinh học,,,,,19.250,Ba,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.04.05,Sinh học,,,,,23.750,Nhì,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.04.06,Sinh học,,,,,21.000,Ba,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.04.07,Sinh học,,,,,23.000,Nhì,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.04.09,Sinh học,,,,,24.750,Nhì,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.04.08,Sinh học,,,,,25.750,Nhì,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.04.10,Sinh học,,,,,20.750,Ba,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.05.01,Tin học,,,,,9.965,K.Khích,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.05.02,Tin học,,,,,10.790,K.Khích,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.05.03,Tin học,,,,,11.360,Ba,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.05.04,Tin học,,,,,14.920,Nhì,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.05.05,Tin học,,,,,18.850,Nhất,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.05.06,Tin học,,,,,13.545,Nhì,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.05.07,Tin học,,,,,11.070,Ba,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.05.08,Tin học,,,,,13.995,Nhì,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.06.01,Ngữ văn,,,,,12.750,Ba,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.06.02,Ngữ văn,,,,,12.500,K.Khích,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.06.03,Ngữ văn,,,,,13.000,Ba,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.06.07,Ngữ văn,,,,,13.000,Ba,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.07.01,Lịch sử,,,,,16.500,Nhì,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.07.02,Lịch sử,,,,,16.250,Nhì,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.07.03,Lịch sử,,,,,16.500,Nhì,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.07.04,Lịch sử,,,,,17.750,Nhất,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.07.05,Lịch sử,,,,,17.500,Nhất,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.07.06,Lịch sử,,,,,16.750,Nhất,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.07.07,Lịch sử,,,,,15.750,Nhì,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.07.08,Lịch sử,,,,,15.250,Nhì,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.07.09,Lịch sử,,,,,17.250,Nhất,12,Trường THPT Chuyên Bắc Ninh
